scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
E/20250627/2745,2025-06-25,2025-06-27,ECOMMERCE,CAROUSELL,TELEGRAM,BANK TRANSFER,DBS,33387262,NA,NA,corey51,NA,581.69,"I came across a listing for a Taylor Swift concert ticket on Carousell, posted by someone using the moniker 'corey51'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $581.69 was made to DBS account 33387262 on 2025-06-25.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250423/7051,2025-04-08,2025-04-23,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,GXS,01326773,NA,NA,nicholsrobin,NA,653.74,"I came across a listing for a Taylor Swift concert ticket on Facebook, posted by someone using the moniker 'nicholsrobin'. I contacted the individual through Facebook to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $653.74 was made to GXS account 01326773 on 2025-04-08.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250131/7399,2025-01-18,2025-01-31,ECOMMERCE,LAZADA,WHATSAPP,BANK TRANSFER,CIMB,46872343,NA,NA,dana56,NA,609.24,"I came across a listing for an iPhone 16 Pro Max on Lazada, posted by someone using the moniker 'dana56'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $609.24 was made to CIMB account 46872343 on 2025-01-18.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,IPHONE 16 PRO MAX,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
A/20250325/2058,2025-03-23,2025-03-25,ECOMMERCE,SHOPEE,TELEGRAM,BANK TRANSFER,TRUST,78820812,NA,NA,jthompson,NA,145.34,"I came across a listing for abalones on Shopee, posted by someone using the moniker 'jthompson'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $145.34 was made to TRUST account 78820812 on 2025-03-23.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
G/20250715/7964,2025-07-02,2025-07-15,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,SCB,99091699,NA,NA,xrobertson,NA,594.33,"I came across a listing for a Taylor Swift concert ticket on Instagram, posted by someone using the moniker 'xrobertson'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $594.33 was made to SCB account 99091699 on 2025-07-02.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250207/2244,2025-01-31,2025-02-07,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,CITIBANK,24751079,NA,NA,darlene67,NA,570.99,"I came across a listing for an Universal Studios Singapore attraction ticket on Carousell, posted by someone using the moniker 'darlene67'. I contacted the individual through Carousell to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $570.99 was made to CITIBANK account 24751079 on 2025-01-31.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250205/2135,2025-01-29,2025-02-05,ECOMMERCE,INSTAGRAM,TELEGRAM,BANK TRANSFER,DBS,35427849,NA,NA,plyons,NA,40.7,"I came across a listing for abalones on Instagram, posted by someone using the moniker 'plyons'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $40.70 was made to DBS account 35427849 on 2025-01-29.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
D/20250414/7961,2025-03-15,2025-04-14,ECOMMERCE,LAZADA,TELEGRAM,BANK TRANSFER,MAYBANK,11824493,NA,NA,john01,NA,269.39,"I came across a listing for an Universal Studios Singapore attraction ticket on Lazada, posted by someone using the moniker 'john01'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $269.39 was made to MAYBANK account 11824493 on 2025-03-15.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
F/20250612/2517,2025-05-22,2025-06-12,ECOMMERCE,SHOPEE,TELEGRAM,BANK TRANSFER,MAYBANK,01640052,NA,NA,jonathan61,NA,84.73,"I came across a listing for abalones on Shopee, posted by someone using the moniker 'jonathan61'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $84.73 was made to MAYBANK account 01640052 on 2025-05-22.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
A/20250216/2574,2025-01-29,2025-02-16,ECOMMERCE,LAZADA,TELEGRAM,BANK TRANSFER,DBS,12805982,NA,NA,seantaylor,NA,597.94,"I came across a listing for an Universal Studios Singapore attraction ticket on Lazada, posted by someone using the moniker 'seantaylor'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $597.94 was made to DBS account 12805982 on 2025-01-29.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250711/7920,2025-06-29,2025-07-11,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,SCB,31586923,NA,NA,michelemartinez,NA,618.37,"I came across a listing for an Universal Studios Singapore attraction ticket on Facebook, posted by someone using the moniker 'michelemartinez'. I contacted the individual through Facebook to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $618.37 was made to SCB account 31586923 on 2025-06-29.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
D/20250731/2025,2025-07-02,2025-07-31,ECOMMERCE,CAROUSELL,TELEGRAM,BANK TRANSFER,BOC,63421607,NA,NA,elizabethwilson,NA,570.44,"I came across a listing for a Taylor Swift concert ticket on Carousell, posted by someone using the moniker 'elizabethwilson'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $570.44 was made to BOC account 63421607 on 2025-07-02.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
D/20250321/2840,2025-03-09,2025-03-21,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,SCB,03654145,NA,NA,bradshawchristopher,NA,1591.83,"I came across a listing for a MacBook Pro on Instagram, posted by someone using the moniker 'bradshawchristopher'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1591.83 was made to SCB account 03654145 on 2025-03-09.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,MACBOOK PRO,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250302/7898,2025-03-01,2025-03-02,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,HSBC,94019655,NA,NA,tpreston,NA,793.23,"I came across a listing for an Universal Studios Singapore attraction ticket on Carousell, posted by someone using the moniker 'tpreston'. I contacted the individual through Carousell to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $793.23 was made to HSBC account 94019655 on 2025-03-01.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
A/20250617/7260,2025-06-04,2025-06-17,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,CITIBANK,08835615,NA,NA,robert41,NA,1591.94,"I came across a listing for an iPhone 16 Pro Max on Facebook, posted by someone using the moniker 'robert41'. I contacted the individual through Facebook to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1591.94 was made to CITIBANK account 08835615 on 2025-06-04.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,IPHONE 16 PRO MAX,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250428/2519,2025-04-04,2025-04-28,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,CITIBANK,56482366,NA,NA,thensley,NA,576.32,"I came across a listing for a Taylor Swift concert ticket on Instagram, posted by someone using the moniker 'thensley'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $576.32 was made to CITIBANK account 56482366 on 2025-04-04.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
G/20250426/2415,2025-04-06,2025-04-26,ECOMMERCE,LAZADA,LAZADA,BANK TRANSFER,UOB,44369957,NA,NA,kennedyrichard,NA,807.81,"I came across a listing for a Taylor Swift concert ticket on Lazada, posted by someone using the moniker 'kennedyrichard'. I contacted the individual through Lazada to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $807.81 was made to UOB account 44369957 on 2025-04-06.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250406/2812,2025-03-20,2025-04-06,ECOMMERCE,LAZADA,WHATSAPP,BANK TRANSFER,HSBC,14895134,NA,NA,xspencer,NA,190.09,"I came across a listing for a Taylor Swift concert ticket on Lazada, posted by someone using the moniker 'xspencer'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $190.09 was made to HSBC account 14895134 on 2025-03-20.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
F/20250106/7250,2025-01-05,2025-01-06,ECOMMERCE,CAROUSELL,TELEGRAM,BANK TRANSFER,TRUST,17693676,NA,NA,saramorgan,NA,619.44,"I came across a listing for a Taylor Swift concert ticket on Carousell, posted by someone using the moniker 'saramorgan'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $619.44 was made to TRUST account 17693676 on 2025-01-05.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
F/20250311/7797,2025-02-10,2025-03-11,ECOMMERCE,CAROUSELL,WHATSAPP,BANK TRANSFER,SCB,28708317,NA,NA,jared97,NA,333.63,"I came across a listing for a Taylor Swift concert ticket on Carousell, posted by someone using the moniker 'jared97'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $333.63 was made to SCB account 28708317 on 2025-02-10.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250501/2627,2025-04-06,2025-05-01,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,GXS,68727743,NA,NA,ccooper,NA,582.07,"I came across a listing for a MacBook Pro on Instagram, posted by someone using the moniker 'ccooper'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $582.07 was made to GXS account 68727743 on 2025-04-06.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,MACBOOK PRO,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
F/20250417/7281,2025-04-01,2025-04-17,ECOMMERCE,SHOPEE,TELEGRAM,BANK TRANSFER,DBS,43455812,NA,NA,manuelsmith,NA,299.91,"I came across a listing for abalones on Shopee, posted by someone using the moniker 'manuelsmith'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $299.91 was made to DBS account 43455812 on 2025-04-01.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
F/20250302/7065,2025-02-07,2025-03-02,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,CITIBANK,58760366,NA,NA,renee67,NA,909.27,"I came across a listing for a Taylor Swift concert ticket on Instagram, posted by someone using the moniker 'renee67'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $909.27 was made to CITIBANK account 58760366 on 2025-02-07.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250710/2006,2025-06-27,2025-07-10,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,MAYBANK,66889373,NA,NA,timothy25,NA,111.97,"I came across a listing for abalones on Carousell, posted by someone using the moniker 'timothy25'. I contacted the individual through Carousell to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $111.97 was made to MAYBANK account 66889373 on 2025-06-27.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
J/20250720/2684,2025-07-07,2025-07-20,ECOMMERCE,SHOPEE,SHOPEE,BANK TRANSFER,CITIBANK,27298069,NA,NA,joannguyen,NA,147.43,"I came across a listing for crabs on Shopee, posted by someone using the moniker 'joannguyen'. I contacted the individual through Shopee to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $147.43 was made to CITIBANK account 27298069 on 2025-07-07.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
F/20250514/2138,2025-04-23,2025-05-14,ECOMMERCE,CAROUSELL,WHATSAPP,BANK TRANSFER,HSBC,04653755,NA,NA,rspencer,NA,1053.86,"I came across a listing for an iPhone 16 Pro Max on Carousell, posted by someone using the moniker 'rspencer'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1053.86 was made to HSBC account 04653755 on 2025-04-23.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,IPHONE 16 PRO MAX,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
A/20250214/7481,2025-02-05,2025-02-14,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,GXS,05310033,NA,NA,anna01,NA,967.59,"I came across a listing for an Universal Studios Singapore attraction ticket on Instagram, posted by someone using the moniker 'anna01'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $967.59 was made to GXS account 05310033 on 2025-02-05.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
