vic_first_name,vic_last_name,vic_nric,vic_sex,vic_dob,vic_nationality,vic_race,vic_occupation,vic_contact_no,vic_email,vic_blk,vic_street,vic_unit_no,vic_postal_code,scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
TING JIA,LIM,S8855623Q,FEMALE,1988-11-20,SINGAPOREAN,CHINESE,SALES MANAGER,+6591686231,tingjia.lim@hotmail.com,464,HOUGANG AVE,#20-04,148225,D/20250312/2316,2025-03-09,2025-03-12,ECOMMERCE,OTHERS,TELEGRAM,BANK TRANSFER,SCB,47228200,NA,NA,rachelvaughn,NA,441.62,"I posted a listing to sell  a League of Legends game account on Others. A buyer under the moniker 'rachelvaughn' contacted me through Telegram requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 441.62.
",FAILURE TO PAY FOR GOODS AND SERVICES,LEAGUE OF LEGENDS GAME ACCOUNT,GAME RELATED,NA,NA,NA,NA,NA,NA,NA,NA
TING YAN,CHUA,S8951712Y,FEMALE,1989-10-04,SINGAPOREAN,CHINESE,BANK TELLER,+6596138070,ty.chua@hotmail.com,553,PUNGGOL WAY,#18-22,369452,F/20250711/2193,2025-06-23,2025-07-11,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,GXS,66326634,NA,NA,lcurtis,NA,436.67,"I posted a listing to sell  a League of Legends game account on Carousell. A buyer under the moniker 'lcurtis' contacted me through Carousell requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 436.67.
",FAILURE TO PAY FOR GOODS AND SERVICES,LEAGUE OF LEGENDS GAME ACCOUNT,GAME RELATED,NA,NA,NA,NA,NA,NA,NA,NA
MICHAEL,GOMES,T0350752P,MALE,2003-05-18,SINGAPOREAN,EURASIAN,MARKETING EXECUTIVE,+6595407373,m.gomes@outlook.com,882,PASIR RIS DR,#06-36,572700,G/20250126/2918,2025-01-04,2025-01-26,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,UOB,71416335,NA,NA,katherinebrown,NA,842.73,"I came across a listing for an Universal Studios Singapore attraction ticket on Instagram, posted by someone using the moniker 'katherinebrown'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $842.73 was made to UOB account 71416335 on 2025-01-04.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
YAN JIA,NG,S9205641G,FEMALE,1992-03-24,SINGAPOREAN,CHINESE,SALES MANAGER,+6597755439,yanjia.ng@yahoo.com.sg,398,SENGKANG EAST WAY,#36-29,817870,J/20250624/2927,2025-06-17,2025-06-24,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,GXS,22239431,NA,NA,hardyvincent,NA,738.59,"I posted a listing to sell  a Genshin Impact game account on Facebook. A buyer under the moniker 'hardyvincent' contacted me through Facebook requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 738.59.
",FAILURE TO PAY FOR GOODS AND SERVICES,GENSHIN IMPACT GAME ACCOUNT,GAME RELATED,NA,NA,NA,NA,NA,NA,NA,NA
JIA YAN,LIM,G7911382M,FEMALE,1979-12-25,MALAYSIAN,CHINESE,BANK TELLER,+6595069909,jy.lim@outlook.com,674,SERANGOON RD,#08-18,147549,J/20250411/2278,2025-03-22,2025-04-11,ECOMMERCE,SHOPEE,TELEGRAM,BANK TRANSFER,TRUST,73502080,NA,NA,matthew03,NA,281.88,"I came across a listing for durians on Shopee, posted by someone using the moniker 'matthew03'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $281.88 was made to TRUST account 73502080 on 2025-03-22.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,DURIANS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
JIA TING,LEE,S6826025Z,FEMALE,1968-06-30,SINGAPOREAN,CHINESE,STUDENT,+6599393286,jiating.lee@yahoo.com.sg,915,KALLANG BAHRU,#27-80,885884,D/20250729/2174,2025-07-01,2025-07-29,ECOMMERCE,SHOPEE,WHATSAPP,BANK TRANSFER,CITIBANK,92929842,NA,NA,hammondkimberly,NA,1610.41,"I came across a listing for a MacBook Pro on Shopee, posted by someone using the moniker 'hammondkimberly'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1610.41 was made to CITIBANK account 92929842 on 2025-07-01.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,MACBOOK PRO,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
FATIMAH,BIN ISMAIL,T0101031B,FEMALE,2001-08-20,SINGAPOREAN,MALAY,GRAPHIC DESIGNER,+6592030113,fatimah.binismail@yahoo.com.sg,263,PASIR RIS DR,#05-44,122056,A/20250208/7744,2025-01-30,2025-02-08,ECOMMERCE,CAROUSELL,TELEGRAM,BANK TRANSFER,UOB,80996930,NA,NA,ryancooper,NA,1292.19,"I came across a listing for an iPhone 16 Pro Max on Carousell, posted by someone using the moniker 'ryancooper'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1292.19 was made to UOB account 80996930 on 2025-01-30.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,IPHONE 16 PRO MAX,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
YAN TING,NG,S8895701L,FEMALE,1988-11-16,SINGAPOREAN,CHINESE,STUDENT,+6595007072,yanting.ng@gmail.com,871,QUEENSTOWN RD,#33-78,308573,E/20250330/2827,2025-03-11,2025-03-30,ECOMMERCE,INSTAGRAM,INSTAGRAM,BANK TRANSFER,CITIBANK,20533645,NA,NA,bblair,NA,131.33,"I came across a listing for abalones on Instagram, posted by someone using the moniker 'bblair'. I contacted the individual through Instagram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $131.33 was made to CITIBANK account 20533645 on 2025-03-11.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
XIN MIN,CHUA,S8287603Q,MALE,1982-01-19,SINGAPOREAN,CHINESE,BUSINESS OWNER,+6597630712,xm.chua@gmail.com,100,YISHUN RING RD,#17-42,221552,E/20250704/2307,2025-06-08,2025-07-04,ECOMMERCE,SHOPEE,TELEGRAM,BANK TRANSFER,GXS,90612034,NA,NA,ryanmiles,NA,989.98,"I came across a listing for an Universal Studios Singapore attraction ticket on Shopee, posted by someone using the moniker 'ryanmiles'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $989.98 was made to GXS account 90612034 on 2025-06-08.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
JIA YAN,CHAN,G0596532Q,FEMALE,2005-08-23,MALAYSIAN,CHINESE,RETAIL ASSISTANT,+6592396987,jiayan_chan@outlook.com,281,CLEMENTI AVE,#16-96,688637,G/20250302/7871,2025-02-08,2025-03-02,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,CIMB,81414139,NA,NA,tyler56,NA,157.62,"I came across a listing for crabs on Instagram, posted by someone using the moniker 'tyler56'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $157.62 was made to CIMB account 81414139 on 2025-02-08.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
ANITA,PILLAI,T0178755R,FEMALE,2001-05-17,SINGAPOREAN,INDIAN,BUSINESS OWNER,+6590043037,a.pillai@yahoo.com.sg,299,COMMONWEALTH AVE,#20-76,708093,A/20250227/2869,2025-02-13,2025-02-27,ECOMMERCE,SHOPEE,TELEGRAM,BANK TRANSFER,DBS,25355449,NA,NA,bernardrebecca,NA,628.93,"I came across a listing for an Universal Studios Singapore attraction ticket on Shopee, posted by someone using the moniker 'bernardrebecca'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $628.93 was made to DBS account 25355449 on 2025-02-13.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
ANITA,NAIR,S7719655N,FEMALE,1977-12-14,SINGAPOREAN,INDIAN,GRAPHIC DESIGNER,+6598996207,a.nair@gmail.com,349,ANG MO KIO AVE,#08-34,287241,G/20250518/2923,2025-05-12,2025-05-18,ECOMMERCE,WHATSAPP,WHATSAPP,BANK TRANSFER,TRUST,08811729,NA,NA,julierivera,NA,893.9,"I came across a listing for a Taylor Swift concert ticket on WhatsApp, posted by someone using the moniker 'julierivera'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $893.90 was made to TRUST account 08811729 on 2025-05-12.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
YAN YAN,WONG,S5108427D,FEMALE,1951-06-01,SINGAPOREAN,CHINESE,RETAIL ASSISTANT,+6593816534,yy.wong@gmail.com,379,HOUGANG AVE,#20-02,842411,J/20250715/7692,2025-07-11,2025-07-15,ECOMMERCE,SHOPEE,WHATSAPP,BANK TRANSFER,CIMB,90807595,NA,NA,colleenfriedman,NA,113.61,"I came across a listing for a Taylor Swift concert ticket on Shopee, posted by someone using the moniker 'colleenfriedman'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $113.61 was made to CIMB account 90807595 on 2025-07-11.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
RAHUL,RAO,S8928098R,MALE,1989-12-18,SINGAPOREAN,INDIAN,SOFTWARE ENGINEER,+6597956894,rahul_rao@hotmail.com,78,BUKIT BATOK ST,#06-12,552855,G/20250531/2704,2025-05-12,2025-05-31,ECOMMERCE,OTHERS,WECHAT,BANK TRANSFER,HSBC,51327195,NA,NA,lisanelson,NA,405.13,"I came across a listing for a Taylor Swift concert ticket on Others, posted by someone using the moniker 'lisanelson'. I contacted the individual through WeChat to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $405.13 was made to HSBC account 51327195 on 2025-05-12.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
SANJAY,RAO,S9962316N,MALE,1999-02-09,SINGAPOREAN,INDIAN,SOFTWARE ENGINEER,+6594793722,sanjay.rao@yahoo.com.sg,250,SENGKANG EAST WAY,#22-41,666390,F/20250505/7164,2025-04-15,2025-05-05,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,12796114,NA,NA,amber23,NA,113.43,"I came across a listing for abalones on Facebook, posted by someone using the moniker 'amber23'. I contacted the individual through Facebook to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $113.43 was made to UOB account 12796114 on 2025-04-15.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
LI WEI,CHAN,T0477115T,MALE,2004-01-23,SINGAPOREAN,CHINESE,DELIVERY DRIVER,+6598748499,lw.chan@gmail.com,318,TOA PAYOH LOR,#02-08,602248,E/20250131/2958,2025-01-09,2025-01-31,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,HSBC,08814743,NA,NA,russellmartinez,NA,218.79,"I came across a listing for an Universal Studios Singapore attraction ticket on Facebook, posted by someone using the moniker 'russellmartinez'. I contacted the individual through Facebook to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $218.79 was made to HSBC account 08814743 on 2025-01-09.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
ARJUN,RAO,S9340164B,MALE,1993-05-25,SINGAPOREAN,INDIAN,DELIVERY DRIVER,+6593533779,arjun_rao@outlook.com,744,YISHUN RING RD,#14-88,765046,F/20250108/7662,2025-01-01,2025-01-08,ECOMMERCE,SHOPEE,WHATSAPP,BANK TRANSFER,UOB,30299228,NA,NA,oruiz,NA,109.62,"I came across a listing for an Universal Studios Singapore attraction ticket on Shopee, posted by someone using the moniker 'oruiz'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $109.62 was made to UOB account 30299228 on 2025-01-01.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
SITI,BINTE ZAINAL,S6427204M,FEMALE,1964-09-30,SINGAPOREAN,MALAY,SOFTWARE ENGINEER,+6590452421,siti_bintezainal@outlook.com,938,GEYLANG RD,#38-73,795205,A/20250214/2199,2025-01-17,2025-02-14,ECOMMERCE,INSTAGRAM,TELEGRAM,BANK TRANSFER,TRUST,88392053,NA,NA,jenniferdavis,NA,205.31,"I came across a listing for crabs on Instagram, posted by someone using the moniker 'jenniferdavis'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $205.31 was made to TRUST account 88392053 on 2025-01-17.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
HASSAN,BINTE ZAINAL,G8956670V,MALE,1989-10-20,MALAYSIAN,MALAY,SOFTWARE ENGINEER,+6599667227,hassan_bintezainal@outlook.com,494,PASIR RIS DR,#31-53,299659,F/20250512/7374,2025-04-21,2025-05-12,ECOMMERCE,LAZADA,LAZADA,BANK TRANSFER,SCB,94278816,NA,NA,logangoodman,NA,336.23,"I came across a listing for an Universal Studios Singapore attraction ticket on Lazada, posted by someone using the moniker 'logangoodman'. I contacted the individual through Lazada to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $336.23 was made to SCB account 94278816 on 2025-04-21.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
JIA YAN,TAN,S9865726F,FEMALE,1998-12-05,SINGAPOREAN,CHINESE,TEACHER,+6596217147,jy.tan@gmail.com,80,PUNGGOL WAY,#22-02,990844,A/20250401/2348,2025-03-15,2025-04-01,ECOMMERCE,LAZADA,TELEGRAM,BANK TRANSFER,GXS,48947697,NA,NA,johnrichardson,NA,176.4,"I came across a listing for a Taylor Swift concert ticket on Lazada, posted by someone using the moniker 'johnrichardson'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $176.40 was made to GXS account 48947697 on 2025-03-15.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
XIN XIN,TAN,S8373467A,MALE,1983-07-14,SINGAPOREAN,CHINESE,DELIVERY DRIVER,+6598002392,xx.tan@yahoo.com.sg,16,ORCHARD RD,#20-97,508930,F/20250311/2953,2025-02-15,2025-03-11,ECOMMERCE,OTHERS,TELEGRAM,BANK TRANSFER,TRUST,84902770,NA,NA,anthony58,NA,451.74,"I posted a listing to sell  a League of Legends game account on Others. A buyer under the moniker 'anthony58' contacted me through Telegram requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 451.74.
",FAILURE TO PAY FOR GOODS AND SERVICES,LEAGUE OF LEGENDS GAME ACCOUNT,GAME RELATED,NA,NA,NA,NA,NA,NA,NA,NA
ANITA,KUMAR,S8259826E,FEMALE,1982-12-28,SINGAPOREAN,INDIAN,SOCIAL MEDIA MANAGER,+6597175395,anita_kumar@gmail.com,584,ANG MO KIO AVE,#08-10,824586,D/20250505/7264,2025-05-03,2025-05-05,ECOMMERCE,WHATSAPP,WHATSAPP,BANK TRANSFER,GXS,69904137,NA,NA,lisamason,NA,51.34,"I posted a listing to sell  an Universal Studios Singapore attraction ticket on WhatsApp. A buyer under the moniker 'lisamason' contacted me through WhatsApp requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 51.34.
",FAILURE TO PAY FOR GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
